1001;101;06/10/2022;01/11/2022;1860.0;0.0
1002;102;07/10/2022;02/11/2022;5580.0;0.0
1003;103;08/10/2022;03/11/2022;16740.0;0.0
1004;104;09/10/2022;04/11/2022;50220.0;0.0
1005;105;10/10/2022;05/11/2022;150660.0;0.0
1006;101;11/10/2022;06/11/2022;65441.0;0.0
1007;102;12/10/2022;07/11/2022;465.0;0.0
1008;103;13/10/2022;08/11/2022;68231.0;0.0
1009;104;14/10/2022;09/11/2022;204693.0;0.0
1010;105;15/10/2022;10/11/2022;32185.0;0.0
1011;101;16/10/2022;11/11/2022;321.0;0.0
1012;102;17/10/2022;12/11/2022;963.0;0.0
1013;103;18/10/2022;13/11/2022;21.0;0.0
1014;104;19/10/2022;14/11/2022;321.0;0.0
1015;105;20/10/2022;15/11/2022;963.0;0.0
1016;101;21/10/2022;16/11/2022;2889.0;0.0
1017;102;22/10/2022;17/11/2022;8667.0;0.0
1018;103;23/10/2022;18/11/2022;26001.0;0.0
1019;104;24/10/2022;19/11/2022;214.0;0.0
1020;105;25/10/2022;20/11/2022;642.0;0.0
1021;101;26/10/2022;21/11/2022;1926.0;0.0
1022;102;27/10/2022;22/11/2022;1321.0;0.0
1023;103;28/10/2022;23/11/2022;3963.0;0.0
1024;104;29/10/2022;24/11/2022;11889.0;0.0
1025;105;30/10/2022;25/11/2022;155.0;0.0
1026;101;31/10/2022;26/11/2022;465.0;0.0
1027;102;01/11/2022;27/11/2022;1395.0;0.0
1028;103;02/11/2022;28/11/2022;4185.0;0.0
1029;104;03/11/2022;29/11/2022;12555.0;0.0
